icao,provider,status,fuel_avgas_100ll,fuel_avgas_91ul,fuel_mogas,charging_station,phone,email
LFXB,1,0,2,0,0,0,,
LFDS,1,0,2,0,0,0,,
LFGU,1,0,1,0,0,0,,
LFDK,1,0,2,0,0,0,,
LFDT,1,0,2,2,0,0,,
LFCT,1,0,1,0,0,0,,
LFCL,1,0,2,0,0,0,,
LFOT,1,0,1,0,0,0,,
LFPN,1,0,1,0,0,0,,
LFLU,1,0,2,0,0,0,,
LFNV,1,0,1,0,0,0,,
LFGW,1,0,2,0,0,0,,
LFQW,1,0,1,0,0,0,,
LFLV,1,0,2,0,0,0,,
LFCW,1,0,2,0,0,0,,
LFNF,1,0,2,0,0,0,,
EDBA,1,0,1,0,1,0,00493620060400,
EDAJ,1,0,1,0,0,0,004936524222,
EDAQ,1,0,1,0,1,0,0049346043130,
EDQT,1,0,1,0,1,0,0049952194990,
EDFG,1,0,1,1,0,0,0049605192170,
EDQM,1,0,1,0,0,0,00499292977200,
EDAD,1,0,1,0,0,0,0049340619751,
EDVY,1,0,1,0,0,0,,
EDCJ,1,0,1,0,0,0,004937296542770,
EDOV,1,0,1,0,0,0,00493931713279,
EDFR,1,0,1,0,0,0,004998617474,
EDFV,1,0,1,0,0,0,0049624125444,
EDRK,1,0,1,0,1,0,004926061030,
EDLM,1,0,1,0,1,0,0049236598960,
EDCY,1,0,1,0,0,0,00493575113833,
EDAP,1,0,1,0,0,0,,
EDRT,1,0,1,0,0,0,004965022999,
EDKA,1,0,1,0,1,0,0049240573597,
EDME,1,0,1,0,1,0,0049872196380,
EDTM,1,0,1,0,1,0,00497572711047,
EDTS,1,0,1,1,0,0,004977205823,
EDTD,1,0,1,0,0,0,00497712585,
EDXJ,1,0,1,0,1,0,0049484196660,
EDBV,1,0,1,0,0,0,00493823189551,
EDAH,1,0,1,0,0,0,00493832762500,
EDQC,1,0,1,0,0,0,0049956192098,
EDFN,1,0,1,0,0,0,00496424303127,
EDQA,1,0,1,0,0,0,004995148718,
EDVR,1,0,1,0,0,0,004950432685,
EDLO,1,0,1,0,0,0,0049520272477,
EDFW,1,0,1,0,0,0,00499319701660,
EDBI,1,0,1,0,0,0,0049375781183,
EDQN,1,0,1,0,0,0,004991613490,
EDQH,1,0,1,0,0,0,004991324773,
EDBO,1,0,1,0,0,0,00493374260330,
EDBF,1,0,1,0,0,0,00493393272412,
EDMQ,1,0,1,0,0,0,00499065755,
EDMG,1,0,1,0,0,0,0049822390480,
EDBR,1,0,1,0,0,0,004935891470,
EDNX,1,0,1,0,0,0,0049893154718,
EDMJ,1,0,1,0,0,0,0049815695003,
EDMT,1,0,1,0,0,0,004983951244,
EDNH,1,0,1,0,0,0,004982475220,
EDMY,1,0,1,0,0,0,004986315250,
EDCX,1,0,1,0,0,0,0049382022111,
EDTZ,1,0,1,0,0,0,0049753162662,
EDXW,1,0,1,0,0,0,00494651920612,
EDLA,1,0,1,0,0,0,,
EDFC,1,0,1,1,1,0,,
EDCB,1,0,1,0,0,0,,
EDKB,1,0,1,0,1,0,,
EDDE,1,0,1,0,0,0,,
EDBK,1,0,1,0,0,0,,
EDKM,1,0,1,0,1,0,,
EDLT,1,0,1,0,1,0,,
EDAZ,1,0,1,1,0,0,,
EDGS,1,0,1,0,1,0,,
LFPX,2,0,2,0,0,0,0033971504536032,airbpoutofhours@bp.com
EKBI,2,0,1,0,0,0,0045 75 33 14 02,br@brbillund.dk
EKMB,2,0,1,0,0,0,004554606113,lfair@lolland.dk
EKOD,2,0,1,0,0,0,004565955072,fuel@hca-airport.dk
LFOQ,2,0,2,0,0,0,0033642462062,aerodrome.bloislebreuil@bloislebreuil.fr
LFPZ,2,0,2,0,0,0,0033130451844,
LFAV,2,0,1,0,0,0,003332720366,aerodromevalenciennes@wanadoo.fr
LFMX,2,0,2,0,0,0,0033492642971,airbpchateauarnoux@orange.f
LFPP,2,0,2,0,0,0,0033344605349,aerodrome.plessis@wanadoo.fr
LFFQ,2,0,2,0,0,0,0033164575289,aerodrome.lffq@gmail.com
LFLG,2,0,1,2,0,0,0033 6 87 09 17 04,leversoud@grenoble.cci.fr
LFKJ,2,0,2,0,0,0,0033495227981,airbp.ajaccio@orange.fr
LFBU,2,0,2,0,0,0,0033 5 45 69 47 12,didier.ausone@angouleme.aeroport.fr
LFKB,2,0,2,0,0,0,0033630670682,aer.bastia@orange.fr
LFBZ,2,0,2,0,0,0,0033621009039,
LFSL,2,0,1,0,0,0,0033555224009,aviationgenerale@aeroportbrive-vallee-dordogne.com
LFAQ,2,0,2,1,0,0,,
LFMK,2,0,2,0,0,0,0033620484934,
LFMD,2,0,1,0,0,0,0033677004583,
LFRK,2,0,2,0,0,0,0033231712015,
LFKC,2,0,1,0,0,0,0033495650545,
LFLB,2,0,2,0,0,0,,
LFGA,2,0,2,0,0,0,0033389202290,
LFCK,2,0,2,0,0,0,,sol@aeroport81.fr
LFGJ,2,0,2,0,0,0,0033 3 84 72 18 53,
LFRD,2,0,2,0,0,0,0033299827348,
LFRG,2,0,1,0,0,0,0033231656567,jfontaine@aeroportdeauville.com
LFLS,2,0,1,0,0,0,0033476655517,soute@grenoble-airport.com
LFRO,2,0,2,0,0,0,,
LFBL,2,0,2,0,0,0,0033555433010,airbp.limoges@gmail.com
LFLP,2,0,2,0,0,0,,
LFQG,2,0,1,0,0,0,0033386570392,
LFOZ,2,0,2,0,0,0,0033238463333,contact@orleans.aeroport.fr
LFBI,2,0,2,0,0,0,0033549300449,mcourtel@poitiers.aeroport.fr
LFBP,2,0,2,0,0,0,,
LFRQ,2,0,2,0,0,0,,
EDLD,2,0,1,0,0,0,00492858390,
EDAY,2,0,1,0,0,0,0049 3341 312270,m.pestel@flugplatzstrausberg.de
EDMV,2,0,1,0,0,0,004985418476,tower@edmv.de
EDFB,2,0,1,0,0,0,,
EDMA,2,0,1,0,0,0,,
EDAC,2,0,1,0,0,0,00493447590124,atg.airbp@live.de
EDLI,2,0,1,0,0,0,,
EDVE,2,0,1,0,0,0,,
EDQD,2,0,1,0,0,0,,
EDDC,2,0,1,0,0,0,00493518814245,
EDLW,2,0,1,0,0,0,,
EDNY,2,0,1,0,0,0,0049 7541 284205,
EDSB,2,0,1,0,0,0,0049 7229 662326,
EDXF,2,0,1,0,0,0,,
EDJA,2,0,1,0,0,0,004983319725619,kevin.wenning@memmingenairport.com
EDDG,2,0,1,1,0,0,00492571944801,bp-agentur@fmo.de
EDBN,2,0,1,0,0,0,0049 395 4554150,
EDDV,2,0,1,1,0,0,0049 511 9772347,
EDDH,2,0,1,0,0,0,0049 40 59390340,
EDHL,2,0,1,1,0,0,0049 451 31711100,
EDDP,2,0,1,0,0,0,00493412241843,
EDDN,2,0,1,0,0,0,0049 911 9371940,
EDMS,2,0,1,0,0,0,00499429308,
EDDS,2,0,1,0,0,0,,
EDWI,2,0,1,0,0,0,,
EDBM,2,0,1,0,0,0,,
EHTE,2,0,1,0,0,0,,
EHRD,2,0,1,0,0,0,,rtmfbo@jetaviation.com
